"secs","kph","rpm","watts","hr","torq","km","g"
1252.44,27.9,86,209,131,9.3,9.473,2.57
1254.96,27.1,64,176,132,8,9.493,3.36
1257.48,26.8,73,162,134,7.5,9.51,2.91
1260,26.8,88,145,134,6.7,9.529,2.42
1262.52,26.1,81,153,135,7.2,9.549,2.56
1265.04,25.9,80,140,135,6.7,9.566,2.57
1267.56,25.7,77,151,135,7.2,9.583,2.65
1270.08,25.5,77,128,135,6.2,9.603,2.63
1272.6,25.1,76,202,135,9.9,9.62,2.62
1275.12,25.7,76,167,133,8,9.637,2.68
1277.64,25.5,77,177,133,8.6,9.654,2.63
1280.16,24.7,76,213,133,10.6,9.672,2.58
1282.68,23.6,72,220,133,11.5,9.689,2.6
1285.2,22.4,79,209,133,11.5,9.706,2.25
1287.72,21.6,74,168,133,9.6,9.721,2.32
1290.24,21.3,73,187,133,10.8,9.734,2.32
1292.76,20.3,67,189,133,11.5,9.749,2.4
1295.28,19.2,67,246,133,15.8,9.762,2.27
1297.8,18,62,271,134,18.6,9.775,2.3
1300.32,17.3,61,294,134,21,9.788,2.25
1302.84,17.8,60,285,135,19.8,9.801,2.35
1305.36,18.5,63,250,138,16.7,9.814,2.33
1307.88,18.6,64,275,138,18.2,9.827,2.31
1310.4,19.4,65,229,139,14.6,9.84,2.37
1312.92,20.4,77,238,139,14.3,9.855,2.1
1315.44,18.8,73,282,139,18.5,9.868,2.04
1317.96,17.9,71,282,140,19.4,9.881,2
1320.48,18.9,71,256,143,16.7,9.894,2.11
1323,19.7,77,209,145,13.1,9.907,2.03
1325.52,21.1,83,151,147,8.8,9.922,2.02
1328.04,22.2,92,136,147,7.6,9.937,1.92
1330.56,23.2,69,102,147,5.4,9.952,2.67
1333.08,24.3,83,127,146,6.4,9.969,2.32
1335.6,25.9,88,111,147,5.3,9.988,2.34
1338.12,26.8,82,125,147,5.8,10.006,2.59
1340.64,28.1,120,98,146,4.3,10.025,1.86
1343.16,28.4,96,104,146,4.5,10.047,2.35
1345.68,28.1,93,144,146,6.3,10.066,2.4
1348.2,27.8,87,150,146,6.7,10.085,2.54
1350.72,27,84,158,141,7.2,10.105,2.55
1353.24,27.2,81,149,143,6.8,10.122,2.67
1355.76,27.2,86,139,143,6.3,10.141,2.51
1358.28,26,53,152,137,7.2,10.161,3.89
